sheet,date,recorder,collector,transect,treeSpecies,branchNum,catCount,catNumMin,catNumMax,lfCount,notes,,data entry notes
2,601,PD,RP;AO,104,BERTH,1,1,J2077,J2077,300,,,
2,601,PD,RP;AO,104,VIBDI,1,0,-,-,100,,,
2,601,PD,RP;AO,104,VIBDI,1,0,-,-,75,,,
3,601,SB,PD;DR,104,VIBDI,1,0,-,-,100,,,
3,601,SB,PD;DR,104,BERTH,1,0,-,-,260,,,
3,602,PD,AO,105,CRAXX,1,1,J2032,J2032,50,,,
3,602,PD,AO,105,FRAXX,1,0,-,-,6,,,
3,602,PD,AO,105,BERTH,1,0,-,-,400,,,
3,602,PD,AO,105,MALXX,1,1,J2033,J2033,75,,,
3,602,PD,AO,105,PRUSE,1,0,-,-,10,,,
3,602,PD,AO,105,PRUSE,2,1,J2034,J2034,40,,,
3,602,PD,AO,105,FRAXX,1,0,-,-,12,,,
3,602,PD,AO,105,MALXX,1,0,-,-,25,,,
3,602,PD,AO,105,MALXX,1,3,J2035,J2037,150,,,
3,602,PD,AO,105,EUOAL,1,0,-,-,50,,,
3,602,PD,AO,105,EUOAL,2,0,-,-,150,,,
3,602,PD,AO,105,ROSMU,1,0,-,-,30,,,
3,602,PD,AO,105,ROSMU,2,0,-,-,25,,,
3,602,PD,AO,105,ROSMU,3,1,J2038,J2038,50,-possibly from ostvi above,,
3,602,PD,AO,105,ROSMU,4,0,-,-,30,,,
3,602,PD,AO,105,ROSMU,1,1,J2039,J2039,30,,,
3,602,PD,AO,105,MALXX,1,1,J2040,J2040,50,,,
3,602,PD,AO,105,ROSMU,1,1,J2041,J2041,20,,,
3,602,PD,AO,105,MALXX,1,0,-,-,35,,,
3,602,PD,AO,105,FRAXX,1,0,-,-,13,,,
3,602,PD,AO,105,MALXX,1,0,-,-,200,,,
3,602,PD,AO,105,MALXX,1,0,-,-,100,,,
3,602,PD,AO,105,ROSMU,1,1,J2042,J2043,75,,,
3,602,PD,AO,105,ROSMU,1,0,-,-,50,,,
3,602,PD,AO,105,ROSMU,1,0,-,-,30,,,
3,602,PD,AO,105,ROSMU,1,0,-,-,70,,,
4,601,PD,AO;RP,T104,BERTH,1,0,-,-,200,,,
4,601,PD,AO;RP,T104,BERTH,1,0,-,-,150,,,
4,601,PD,AO;RP,T104,BERTH,1,0,-,-,110,,,
4,601,PD,AO;RP,T104,VIBDI,1,0,-,-,45,,,
4,601,PD,AO;RP,T104,VIBDI,1,0,-,-,75,,,
4,601,PD,AO;RP,T104,EUOAL,1,0,-,-,25,,,
4,601,PD,AO;RP,T104,BERTH,1,0,-,-,250,,,
4,601,PD,AO;RP,T104,BERTH,1,0,-,-,300,,,
4,601,PD,AO;RP,T104,VIBDI,1,0,-,-,35,,,
4,601,PD,AO;RP,T104,VIBDI,1,0,-,-,75,,,
4,602,GA,GM,T105,VIBAC,1,0,-,-,20,,,
4,602,GA,GM,T105,VIBAC,1,0,-,-,20,,,
4,602,GA,GM,T105,VIBAC,1,0,-,-,30,,,
4,602,GA,GM,T105,FRAXX,1,0,-,-,40,,,
4,602,GA,GM,T105,VIBAC,1,0,-,-,30,,,
4,602,GA,GM,T105,FRAXX,1,1,J2094,J2095,3,,,
4,602,GA,GM,T105,LIGVU,1,0,-,-,100,,,
4,602,GA,GM,T105,FRAXX,1,0,-,-,3,,,
4,602,GA,GM,T105,MALXX,1,0,-,-,18,,,
4,602,GA,GM,T105,BERTH,1,0,-,-,150,,,
4,602,GA,GM,T105,ROSMU,1,0,-,-,200,,,
4,602,GA,GM,T105,MALXX,1,1,J2095,J2096,450,,,
4,602,GA,GM,T105,BERTH,1,0,-,-,140,,,
4,602,GA,GM;KD,T105,MALXX,1,2,J2096,J2097,250,,,
4,602,GA,GM;KD,T105,BERTH,1,0,-,-,100,,,
4,602,GA,GM;KD,T105,VIBLE,2,2,J2098,J2099,300,Photograph J2099,,
4,602,GA,GM;KD,T105,PRUSE,1,0,-,-,200,,,
4,602,GA,GM;KD,T105,FRAAM,1,1,J2100,J2100,9,,,
4,602,GA,GM;KD,T105,PRUSE,1,1,J2101,J2101,50,,,
4,602,GA,GM;KD,T105,CRAXX,1,0,-,-,30,,,
4,602,GA,GM;KD,T105,ROSMU,1,1,J2102,J2102,300,S (Photograph),,
4,602,GA,GM;KD,T105,MALXX,2,0,-,-,800,,,
4,602,GA,GM;KD,T105,ROSMU,1,1,J2103,J2103,150,,,
5,602,HW,RP,105,BERTH,1,1,J2125,J2125,400,,,
5,602,HW,RP,105,MALXX,1,2,J2126,J2127,170,,,
5,602,HW,RP,105,MALXX,2,2,J2128,J2129,60,,,
5,602,HW,RP,105,ROSMU,1,0,-,-,120,,,
5,602,HW,RP,105,MALXX,1,3,J2130,J2132,300,,,
5,602,HW,RP,105,MALXX,1,2,J2133,J2134,200,,,
5,602,HW,RP,105,ROSMU,1,3,J2135,J2137,400,,,
5,602,HW,RP,105,RUBXX,1,1,J2138,J2138,60,,,
5,602,HW,RP,105,RUBXX,1,0,-,-,80,,,
5,602,HW,RP,105,RUBXX,1,0,-,-,80,,,
5,602,HW,RP,105,LIGVU,1,1,J2139,J2139,350,,,
5,602,HW,RP,105,LIGVU,1,0,-,-,350,,,
5,602,HW,RP,105,LIGVU,1,0,-,-,150,,,
5,602,HW,RP,105,LONMO,1,0,-,-,40,,,
5,602,HW,RP,105,MALXX,1,1,J2140,J2140,60,,,
5,603,GA,KD;RG,108,BERTH,1,1,J2187,J2187,1000,,,
5,603,GA,KD;RG,108,BERTH,1,0,-,-,1000,,,
5,603,GA,KD;RG,108,BERTH,1,0,-,-,700,,,
5,603,GA,KD;RG,108,BERTH,1,0,-,-,1011,,,
5,603,GA,KD;RG,108,BERTH,1,0,-,-,1005,,,
5,603,GA,KD;RG,108,BERTH,1,0,-,-,900,,,
5,603,GA,KD;RG,108,BERTH,1,0,-,-,1050,,,
5,604,ML,PD;HW,109,BERTH,1,0,-,-,200,,,
5,604,ML,PD;HW,109,BERTH,1,1,J2249,J2249,600,,,
5,604,ML,PD;HW,109,BERTH,1,0,-,-,150,,,
5,604,ML,PD;HW,109,VIBLE,1,0,-,-,35,,,
5,604,ML,PD;HW,109,VIBLE,2,0,-,-,20,,,
5,604,ML,PD;HW,109,BERTH,1,0,-,-,350,,,
5,604,ML,PD;HW,109,FRAAM,1,0,-,-,50,,,
5,604,ML,PD;HW,109,FRAAM,2,0,-,-,30,,,
5,604,ML,PD;HW,109,BERTH,1,0,-,-,800,,,
5,604,ML,PD;HW,109,BERTH,1,0,-,-,350,,,
5,604,ML,PD;HW,109,MALXX,1,0,-,-,50,,,
6,602,GA,GM;KD,T105,ROSMU,1,0,-,-,500,,,
6,602,GA,GM;KD,T105,EUOAL,1,0,-,-,400,,,
6,602,GA,GM;KD,T105,LIGVU,1,1,J2103,J2103,500,,,
6,602,GA,GM;KD,T105,AMELA,1,0,-,-,60,,,
6,603,RP,PD,T108,BERTH,1,0,-,-,300,,,
6,603,RP,PD,T108,BERTH,2,2,J2218,J2219,300,,,
6,603,RP,PD,T108,BERTH,3,0,-,-,300,,,
6,603,RP,PD,T108,BERTH,4,0,-,-,200,,,
6,603,RP,PD,T108,BERTH,1,0,-,-,250,,,
6,603,RP,PD,T108,BERTH,2,0,-,-,300,,,
6,603,RP,PD,T108,BERTH,1,0,-,-,300,,,
6,603,RP,PD,T108,BERTH,2,0,-,-,400,,,
6,603,RP,PD,T108,BERTH,1,1,J2220,J2220,500,,,
6,604,HW,RG,T111,BERTH,1,0,-,-,300,,,
6,604,HW,RG,T111,VIBDI,1,0,-,-,30,,,
6,604,HW,RG,T111,BERTH,1,3,J2280,J2282,1200,,,
6,604,HW,RG,T111,BERTH,1,0,-,-,100,,,
6,604,HW,RG,T111,BERTH,1,0,-,-,600,,,
6,604,HW,RG,T111,LIGVU,1,0,-,-,70,,,
6,604,HW,RG,T111,VIBDI,1,0,-,-,130,,,
6,604,HW,RG,T111,VIBDI,1,0,-,-,40,,,
6,604,HW,RG,T111,VIBDI,2,0,-,-,230,,,
6,604,HW,RG,T111,VIBDI,3,0,-,-,200,,,
6,604,HW,RG,T111,VIBDI,1,0,-,-,200,,,
6,604,HW,RG,T111,BERTH,1,1,J2283,J2283,600,,,
6,607,HW,PD,T112,BERTH,1,0,-,-,50,,,
6,607,HW,PD,T112,VIBAC,1,0,-,-,500,,,
6,607,HW,PD,T112,BERTH,1,0,-,-,40,,,
6,607,HW,PD,T112,ROSMU,1,0,-,-,310,,,
6,607,HW,PD,T112,ROSMU,1,1,J2342,J2343,100,,,
6,607,HW,PD,T112,ROSMU,2,0,-,-,70,,,
6,607,HW,PD,T112,ROSMU,3,1,J2343,J2343,45,,,
6,607,HW,PD,T112,ROSMU,1,0,-,-,40,,,
7,603,ML,ML,106,RUBAL,1,0,-,-,20,,,
7,603,ML,ML,106,BERTH,1,0,-,-,300,,,
7,603,ML,ML,106,RUBAL,1,0,-,-,30,,,
7,603,ML,ML,106,RUBAL,1,3,J2156,J2158,30,,,
7,603,PD,ML,106,VIBPI,1,0,-,-,80,,,
7,603,PD,ML,106,VIBPI,1,0,-,-,110,,,
7,603,PD,ML,106,RUBAL,1,3,J2159,J2161,9,,,
7,603,PD,ML,106,BERTH,1,0,-,-,200,,,
7,603,PD,ML,106,BERTH,1,0,-,-,400,,,
7,603,PD,ML,106,VIBPI,1,0,-,-,100,,,
7,603,PD,ML,106,VIBPI,2,0,-,-,50,,,
7,603,PD,ML,106,BERTH,1,0,-,-,500,,,
7,603,PD,ML,106,VIBPI,1,0,-,-,300,,,
7,603,PD,ML,106,VIBDI,1,1,J2162,J2162,100,,,
7,603,PD,ML,106,VIBPI,1,0,-,-,300,,,
7,603,PD,ML,106,ROSMU,1,0,-,-,50,,,
7,603,PD,ML,106,PRUSE,1,5,J2163,J2167,100,,,
7,603,PD,ML,106,PRUSE,2,2,J2168,J2169,130,,,
7,603,PD,ML,106,PRUSE,1,6,J2170,J2175,140,,,
7,603,PD,ML,106,BERTH,1,0,-,-,250,,,
7,603,PD,ML,107,VIBAC,1,0,-,-,45,,,
7,603,PD,ML,107,VIBAC,1,0,-,-,20,,,
7,603,PD,ML,107,VIBAC,1,0,-,-,30,,,
7,603,PD,ML,107,VIBAC,1,0,-,-,20,,,
7,603,PD,ML,107,AMECA,1,1,J2176,J2176,10,,,
7,603,PD,ML,107,AMECA,1,1,J2177,J2177,18,,,
7,603,PD,ML,107,VIBAC,1,0,-,-,20,,,
7,603,PD,ML,107,VIBAC,1,0,-,-,10,,,
7,603,PD,ML,107,AMECA,1,1,J2178,J2178,35,,,
7,603,PD,ML,107,AMEAR,1,1,J2179,J2179,300,,,
7,603,PD,ML,107,AMECA,1,0,-,-,60,,,
8,604,ML,PD;HW,109,MALXX,2,0,-,-,50,CONT. FROM PAGE 5,,
8,604,ML,PD;HW,109,VIBLE,1,3,J2250,J2252,100,,,
8,604,ML,PD;HW,109,BERTH,1,0,-,-,150,,,
8,604,ML,PD;HW,109,BERTH,1,1,J2253,J2253,800,,,
8,604,ML,PD;HW,109,BERTH,1,0,-,-,750,,,
8,604,ML,PD;HW,109,BERTH,1,0,-,-,100,,,
8,604,ML,PD;HW,109,ROSMU,1,1,J2254,J2254,130,,,
8,604,ML,PD;HW,109,BERTH,1,0,-,-,250,,,
8,604,ML,PD;HW,109,LONMO,1,0,-,-,150,,,
8,604,ML,PD;HW,109,LONMO,2,1,J2255,J2255,75,BHGB,,
8,604,ML,PD;HW,109,ROSMU,2,1,J2256,J2256,70,,,
8,604,ML,PD;HW,109,LONMO,3,0,-,-,100,,,
8,604,ML,PD;HW,109,BETH,1,0,-,-,400,,,
8,604,ML,PD;HW,109,BERTH,1,1,J2257,J2258,320,,,
8,604,ML,PD;HW,110,VIBAC,1,0,-,-,60,,,
8,604,ML,PD;HW,110,EUOAL,1,2,J2259,J2260,200,,,
8,604,ML,PD;HW,110,VIBDI,1,0,-,-,150,,,
8,604,ML,PD;HW,110,VIBDI,2,0,-,-,70,,,
8,604,ML,PD;HW,110,VIBDI,3,0,-,-,200,,,
8,604,ML,PD;HW,110,EUOAL,2,0,-,-,180,,,
8,604,ML,PD;HW,110,ROSMU,1,0,-,-,70,,,
8,604,ML,PD;HW,110,RUBXX,1,0,-,-,26,,,
8,604,ML,PD;HW,110,RUBXX,1,0,-,-,20,,,
8,604,ML,PD;HW,110,VIBAC,1,0,-,-,20,,,
8,604,ML,PD;HW,110,RUBXX,1,0,-,-,15,,,
8,604,ML,PD;HW,110,VIBAC,1,0,-,-,80,,,
8,604,ML,PD;HW,110,VIBAC,1,1,J2261,J2261,50,,,
8,604,ML,PD;HW,110,VIBAC,1,2,J2262,J2263,80,,,
8,604,ML,PD;HW,110,ROSMU,1,0,-,-,100,,,
8,604,ML,PD;HW,110,FRAAM,1,2,J2264,J2265,20,,,
8,604,ML,PD;HW,110,FRAAM,1,0,-,-,9,,,
8,604,ML,PD;HW,110,FRAAM,1,4,J2266,J2269,20,,,
8,604,ML,PD;HW,110,FRAAM,2,2,J2270,J2271,30,,,
9,604,ML,PDHW,110,VIBAC,1,0,-,-,64,,,
9,604,ML,PDHW,110,FRAAM,1,1,J2272,J2272,14,,,
9,604,ML,PDHW,110,FRAAM,2,2,J2273,J2274,13,,,
9,604,ML,PDHW,110,FRAAM,3,0,-,-,28,,,
9,604,ML,PDHW,110,PRUSE,1,0,-,-,23,,,
9,604,ML,PDHW,110,PRUSE,1,0,-,-,90,,,
9,604,GA,RP;PD,111,LIGVU,1,0,-,-,100,,,
9,604,GA,RP;PD,111,LIGVU,1,0,-,-,250,,,
9,604,GA,RP;PD,111,ROSMU,1,0,-,-,200,,,
9,604,GA,RP;PD,111,LIGVU,1,0,-,-,260,,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,400,,,
9,604,GA,RP;PD,111,VIBDI,1,0,-,-,50,,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,400,,,
9,604,GA,RP;PD,111,VIBDI,1,0,-,-,15,,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,200,,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,1000,,,
9,604,GA,RP;PD,111,VIBDI,1,0,-,-,600,,,
9,604,GA,RP;PD,111,VIBDI,1,0,-,-,500,,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,1050,,,
9,604,GA,RP;PD,111,BERTH,1,1,J2275,J2275,2000,,,
9,604,GA,RP;PD,111,VIBDI,1,1,J2276,J2276,120,,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,1200,,,
9,604,GA,RP;PD,111,VIBDI,2,0,-,-,350,A LOT OF ANTS,,
9,604,GA,RP;PD,111,BERTH,1,0,-,-,300,,,
9,604,GA,RP;PD,111,VIBDI,1,0,-,-,200,,,
9,604,GA,RP;PD,111,VIBDI,1,0,-,-,250,,,
9,607,AH,PDKD,112,VIBAC,1,2,J2311,J2312,30,,,
9,607,AH,PDKD,112,ROSMU,1,0,-,-,15,,,
9,607,AH,PDKD,112,BERTH,1,0,-,-,100,,,
9,607,AH,PDKD,112,BERTH,1,0,-,-,200,,,
9,607,AH,PDKD,112,BERTH,1,0,-,-,100,,,
9,607,AH,PDKD,112,ROSMU,1,0,-,-,15,,,
9,607,AH,PDKD,112,ROSMU,1,0,-,-,6,,,
10,607,KD,PD,T114,VIBDI,1,0,-,-,130,,,
10,607,KD,PD,T114,VIBDI,1,0,-,-,250,,,
10,607,KD,PD,T114,VIBDI,1,0,-,-,180,,,
10,607,KD,PD,T114,VIBDI,1,0,-,-,350,,,
10,607,KD,PD,T114,VIBDI,2,0,-,-,100,,,
10,607,KD,PD,T114,VIBDI,1,0,-,-,120,,,
10,607,KD,PD,T114,ROSMU,1,0,-,-,130,,,
10,607,KD,PD,T114,EUOAL,1,0,-,-,300,,,
10,607,KD,PD,T114,LONMO,1,0,-,-,200,,,
10,607,KD,PD,T114,LIGVU,1,0,-,-,230,,,
10,607,KD,PD,T114,MALXX,1,0,-,-,150,,,
10,608,SB,AHKD,T115,FRAXX,1,1,J2373,J2373,4,,,
10,608,SB,AHKD,T115,FRAXX,1,0,-,-,2,,,
10,608,SB,AHKD,T115,BERTH,1,0,-,-,170,,,
10,608,SB,AHKD,T115,FRAXX,1,0,-,-,4,,,
10,608,SB,AHKD,T115,BERTH,1,0,-,-,360,,,
10,608,SB,AHKD,T115,VIBAC,1,0,-,-,15,,,
10,608,SB,AHKD,T115,VIBAC,1,0,-,-,20,,,
10,608,SB,AHKD,T115,CRAXX,1,0,-,-,20,,,
10,608,SB,AHKD,T115,PRUSE,1,1,J2374,J2374,20,,,
10,608,SB,AHKD,T115,PRUSE,1,0,-,-,10,,,
10,608,AH,KD SB,T115,AMEXX,1,0,-,-,20,,,
10,608,AH,KD SB,T115,BERTH,1,0,-,-,340,,,
10,608,AH,KD SB,T115,BERTH,2,0,-,-,510,,,
10,608,AH,KD SB,T115,PRUSE,1,0,-,-,10,,,
10,608,AH,KD SB,T115,BERTH,1,1,J2374,J2374,600,,,
10,608,AH,KD SB,T115,FRAXX,1,0,-,-,3,,,
10,608,AH,KD SB,T115,BERTH,1,0,-,-,400,,,
10,608,AH,KD SB,T115,VIBAC,1,0,-,-,20,,,
10,608,AH,KD SB,T115,FRAXX,1,0,-,-,4,,,
10,608,AH,KD SB,T115,FRAXX,1,0,-,-,2,,,
10,608,AH,KD SB,T115,BERTH,1,0,-,-,400,,,
10,608,AH,KD SB,T115,FRAXX,1,0,-,-,4,,,
11,607,KD,AH DR,112,FRAXX,1,0,-,-,2,,,
11,607,KD,AH DR,112,EUOAL,1,0,-,-,42,,,
11,607,KD,AH DR,112,VIBAC,1,0,-,-,20,,,
11,607,KD,AH DR,112,EUOAL,1,0,-,-,15,,,
11,607,KD,AH DR,112,FRAXX,1,0,-,-,2,,,
11,607,DR,AH KD,113,VIBDI,1,2,J2317,J2318,40,,,
11,607,DR,AH KD,113,VIBDI,2,0,-,-,40,,,
11,607,DR,AH KD,113,VIBDI,3,1,J2319,J2319,60,,,
11,607,DR,AH KD,113,FRAAM,1,2,J2320,J2321,20,,,
11,607,DR,AH KD,113,VIBAC,1,0,-,-,20,,,
11,607,DR,AH KD,113,VIBAC,2,0,-,-,20,,,
11,607,DR,AH KD,113,RUBAL,1,0,-,-,10,,,
11,607,DR,AH KD,113,RUBAL,1,1,J2322,J2322,6,,,
11,607,DR,AH KD,113,RUBAL,1,0,-,-,20,,,
11,607,DR,AH KD,113,RUBAL,1,0,-,-,20,,,
11,607,DR,AH HW,114,ROSMU,1,0,-,-,30,,,
11,607,DR,AH HW,114,ROSMU,1,2,J2323,J2324,10,,,
11,607,DR,AH HW,114,ROSMU,2,1,J2325,J2325,30,,,
11,607,DR,AH HW,114,MALXX,1,0,-,-,15,,,
11,607,DR,AH HW,114,VIBDI,1,0,-,-,60,,,
11,607,DR,AH HW,114,LIGVU,1,0,-,-,150,,,
11,607,DR,AH HW,114,EUOAL,1,0,-,-,40,,,
11,607,DR,AH HW,114,ROSMU,1,1,J2326,J2326,60,SUN FRAAM,,
11,607,DR,AH HW,114,LIGVU,1,0,-,-,60,,,
11,607,DR,AH HW,114,LIGVU,1,0,-,-,300,,,
11,607,DR,AH HW,114,LIGVU,1,0,-,-,200,,,
11,607,AH,DR HW,114,LIGVU,1,0,-,-,300,,,
11,607,AH,DR HW,114,EUOAL,1,0,-,-,75,,,
11,607,AH,DR HW,114,VIBAC,1,0,-,-,15,,,
11,607,AH,DR HW,114,ROSMU,1,0,-,-,50,,,
11,607,AH,DR HW,114,VIBDI,1,0,-,-,250,,,
11,607,AH,DR HW,114,MALXX,1,0,-,-,100,,,
11,607,AH,DR HW,114,VIBDI,1,1,J2327,J2327,300,,,
12,607,HW,PD,T112,ROSMU,1,0,-,-,20,,,
12,607,HW,PD,T112,CRAXX,1,0,-,-,60,,,
12,607,HW,PD,T112,ROSMU,1,0,-,-,50,,,
12,607,HW,PD,T112,ROSMU,1,0,-,-,85,,,
12,607,HW,PD,T112,VIBLE,1,0,-,-,60,,,
12,607,HW,PD,T112,ROSMU,1,1,J2344,J2344,50,MANY ANTS,,
12,607,HW,PD,T112,VIBAC,1,0,-,-,50,,,
12,607,HW,PD,T112,ROSMU,1,0,-,-,80,,,
12,607,HW,PD,T112,ROSMU,2,0,-,-,110,,,
12,607,HW,PD,T112,VIBDE,1,0,-,-,50,,,
12,607,HW,PD,T112,VIBAC,1,1,J2345,J2345,50,,,
12,607,HW,PD,T112,VIBAC,1,0,-,-,30,,,
12,607,HW,PD,T112,VIBAC,1,0,-,-,30,,,
12,607,HW,PD,T112,BERTH,1,0,-,-,400,,,
12,607,HW,PD,T112,BERTH,1,0,-,-,1200,,,
12,607,HW,PD,T112,BERTH,1,1,J2346,J2346,2000,,,
12,607,HW,PD,T112,VIBAC,1,2,J2347,J2348,50,,,
12,607,HW,PD,T112,VIBAC,1,2,J2349,J2350,60,,,
12,607,HW,PD,T112,VIBAC,1,2,J2351,J2352,40,,,
12,607,PD,HW,113,VIBPL,1,0,-,-,150,,,
12,607,PD,HW,113,CELOR,1,1,J2353,J2353,6,COULD ALSO BE FROM VIBPL,,
12,607,PD,HW,113,VIBPL,2,0,-,-,200,ANTS(LOT),,
12,607,PD,HW,113,VIBPL,3,2,J2354,J2355,100,,,
12,607,PD,HW,113,VIBPL,4,2,J2356,J2357,175,,,
12,607,PD,HW,113,VIBPL,1,0,-,-,60,,,
12,607,PD,HW,113,VIBPL,2,0,-,-,175,,,
12,607,KD,PD,T114,VIBDI,1,0,-,-,200,,,
12,607,KD,PD,T114,VIBDI,1,0,-,-,250,,,
12,607,KD,PD,T114,VIBDI,1,0,-,-,250,,,
12,607,KD,PD,T114,VIBDI,1,1,J2358,J2358,200,,,
12,607,KD,PD,T114,VIBDI,1,0,-,-,170,,,
12,607,KD,PD,T114,VIBDI,1,0,-,-,180,,,
12,607,KD,PD,T114,VIBDI,1,2,J2359,J2360,130,,,
13,607,AH,PD KD,112,FRAXX,1,0,-,-,2,,,
13,607,AH,PD KD,112,FRAXX,1,0,-,-,4,,,
13,607,AH,PD KD,112,VIBAC,1,0,-,-,15,,,
13,607,AH,PD KD,112,AMEXX,1,0,-,-,61,,,
13,607,AH,PD KD,112,AMEXX,1,0,-,-,40,,,
13,607,AH,PD KD,112,AMEXX,2,0,-,-,70,,,
13,607,AH,PD KD,112,LONMO ,1,0,-,-,35,,,
13,607,AH,PD KD,112,LONMO,1,0,-,-,60,,,
13,607,AH,PD KD,112,LONMO,2,0,-,-,60,,,
13,607,AH,PD KD,112,LONMO,3,0,-,-,70,,,
13,607,AH,PD KD,112,MALXX,1,0,-,-,100,,,
13,607,AH,PD KD,112,VIBDE,1,0,-,-,50,,,
13,607,AH,PD KD,112,VIBDE,2,0,-,-,50,A LOT O ANTS TENDING TO APHIDS,,
13,607,AH,PD KD,112,MALXX,1,0,-,-,40,,,
13,607,AH,PD KD,112,VIBAC,1,0,-,-,50,,,
13,607,AH,PD KD,112,VIBAC,1,0,-,-,20,,,
13,607,AH,PD KD,112,AMEXX,1,2,J2313,J2314,25,"DOA, MAYBE P-TOID",,
13,607,AH,PD KD,112,VIBAC,1,1,J2315,J2315,20,,,
13,607,AH,PD KD,112,BERTH,1,0,-,-,200,,,
13,607,KD,PD AH,112,BERTH,1,0,-,-,200,,,
13,607,KD,PD AH,112,BERTH,1,0,-,-,200,,,
