trap,date,treeID,cover
NF04,608,TOXRA,1
NF05,608,MALFL,55
NF05,608,PARQU,5
NF05,608,CELOR,2
NF05,608,BERTH,1
NF05,608,TOXRA,1
NF05,608,ROSMU,1
NF05,608,ACESA,1
NF06,608,MALFL,15
NF06,608,RUBXX,2
NF06,608,PARQU,1
BT01,608,AMEXX,5
BT01,608,PINST,2
BT01,608,CARCA,2
BT01,608,QUERU,1
BT01,608,MALFL,1
BT01,608,QUEAL,1
BT01,608,BERTH,1
BT02,608,VACCO,10
BT02,608,CRAXX,10
BT02,608,QUERU,1
BT02,608,ACERU,1
BT02,608,PINST,1
BT02,608,MALSI,1
BT02,608,CARCA,5
BT03,608,MALFL,3
BT03,608,QUEAL,1
BT03,608,QUERU,1
BT03,608,VIBAC,1
BT03,608,CARCA,1
NF03B,610,VIBAC,10
NF03B,610,FRAAM,1
NF03B,610,LIGOB,2
NF03B,610,MALSI,4
NF03B,610,PRUSE,5
NF03B,610,ACESA,1
NF03B,610,BERTH,1
NF03B,610,QUEAL,1
NF03B,610,TOXRA,1
NF02B,610,BERTH,30
NF02B,610,LIGOB,1
NF02B,610,MALFL,1
NF01B,610,BERTH,8
NF01B,610,MALFL,5
NF01B,610,ACESA,1
NF01B,610,TOXRA,1
BT02B,610,CRAXX,3
BT02B,610,QUEAL,3
BT02B,610,ACERU,1
BT02B,610,CARCA,3
BT01B,610,CARCA,40
BT01B,610,CARXX,8
BT01B,610,QUEAL,1
BT01B,610,TOXRA,1
BT01B,610,ACESA,1
BT03B,610,CARCA,2
BT03B,610,QUEAL,1
NF04B,610,MALFL,5
NF04B,610,PARQU,1
NF05B,610,ELEAN,12
NF05B,610,PARQU,3
NF05B,610,TOXRA,3
NF05B,610,MALFL,1
NF06B,610,MALSI,3
NF06B,610,CELOR,2
NF06B,610,PARQU,1
NF06B,610,RUBXX,1
NF06B,610,TOXRA,1
BE01B,610,CARCA,30
BE01B,610,QUEAL,1
BE01B,610,PARQU,1
BE01B,610,CORSA,1
BE01B,610,CELOR,1
BE02B,610,HAMVI,10
BE02B,610,PRUSE,10
BE02B,610,RUBXX,5
BE02B,610,CARCA,3
PL07B,610,FRAAM,20
PL07B,610,PRUSE,10
PL07B,610,QUEVE,5
PL07B,610,QUEAL,5
PL07B,610,CARCA,2
PL07B,610,TSUCA,30
PL07B,610,PINST,30
PL07B,610,PARQU,2
PL07B,610,CELOR,2
PL07B,610,LONGL,1
PL07B,610,VITAL,1
PL08B,610,ROSMU,50
PL08B,610,CARCA,20
PL08B,610,TSUCA,10
PL08B,610,LONGL,3
PL08B,610,RUBXX,3
PL08B,610,CELOR,3
PL08B,610,TOXRA,1
PL10,610,PRUSE,30
PL10,610,QUEAL,25
PL10,610,CALLA,20
PL10,610,RUBXX,1
PL10,610,QUERU,1
PL11,610,MALSI,5
PL11,610,CARCA,8
PL11,610,MALFL,5
PL11,610,LIGOB,15
PL11,610,BERTH,20
PL11,610,CARXX,8
PL11,610,TOXRA,1
PL11,610,ROSMU,15
PL05B,610,VIBDI,85
PL05B,610,BETLE,3
PL05B,610,FRAAM,5
PL04B,610,BERTH,10
PL04B,610,CARCA,2
PL04B,610,ROSMU,2
PL04B,610,EUOAL,2
PL04B,610,VIBDI,3
PL04B,610,CARXX,1
PL04B,610,CELOR,1
PL01B,610,ELEAN,70
PL01B,610,ACERU,10
PL01B,610,CARCA,15
PL01B,610,PARQU,1
PL01B,610,CELOR,1
PL01B,610,QUEAL,1
PL01B,610,EUOAL,1
PL02B,610,CARCA,1
PL02B,610,VIBAC,1
PL02B,610,AMEXX,1
PL02B,610,TOXRA,1
PL02B,610,QUERA,1
PL03B,610,CARCA,5
PL03B,610,BERTH,15
PL03B,610,CELOR,5
PL03B,610,ROSMU,1
PL03B,610,TOXRA,1
PL03B,610,QUEAL,1
PL01C,613,CARCA,5
PL01C,613,ACESA,3
PL01C,613,QUEAL,1
PL01C,613,CELOR,1
PL02C,613,ELEAN,50
PL02C,613,CARCA,1
PL02C,613,MALSI,1
PL02C,613,TOXRA,1
PL02C,613,QUEAL,3
PL03C,613,BERTH,5
PL03C,613,CELOR,2
PL03C,613,ELEAN,1
PL10B,613,OSTVI,25
PL10B,613,KALLA,15
PL10B,613,QUEAL,3
PL07C,613,QUEVE,1
PL07C,613,TSUCA,3
PL08C,613,QUEVE,15
PL08C,613,BETLE,10
PL08C,613,ELEAN,5
PL08C,613,RUBXX,1
PL08C,613,COMPE,3
PL11B,613,ROSMU,30
PL11B,613,LIBGOB,8
PL11B,613,CARCA,15
PL11B,613,BERTH,3
PL11B,613,MALSI,3
PL05C,613,VIBDI,50
PL05C,613,BETLE,10
PL05C,613,BERTH,2
PL04C,613,ROSMU,40
PL04C,613,CELOR,3
PL04C,613,QUEVE,1
PL04C,613,CARXX,1
BE01C,613,PINST,30
BE01C,613,CARCA,15
BE01C,613,QUEAL,1
BE02C,613,BETLE,55
BE02C,613,ACERU,20
BE02C,613,TSUCA,5
NF01C,613,MALFL,40
NF01C,613,BERTH,10
NF01C,613,ACESA,5
NF01C,613,ROSMU,3
NF01C,613,FAGGR,2
NF01C,613,CELOR,1
NF02C,613,BERTH,50
NF02C,613,MALSI,5
NF03C,613,BERTH,10
NF03C,613,EUOAL,5
NF03C,613,FRAAM,2
NF03C,613,PRUSE,2
NF03C,613,QUEAL,1
NF03C,613,QUERU,1
NF03C,613,VIBAC,2
NF03C,613,MALSI,1
NF03C,613,ACESA,1
BT01C,613,CARCA,1
BT02C,613,CARCA,60
BT02C,613,FAGGR,3
BT02C,613,QUEAL,2
BT03C,613,ACERU,1
BT03C,613,EUOAL,1
BT03C,613,VIBAC,1
NF04C,613,MALFL,15
NF04C,613,ROSMU,5
NF04C,613,CELOR,5
NF04C,613,PARQU,2
NF05C,613,MALFL,40
NF05C,613,PARQU,3
NF05C,613,TOXRA,2
NF05C,613,CELOR,5
NF05C,613,ELEAN,5
NF05C,613,RUBXX,1
NF05C,613,ACESA,1
NF05C,613,BERTH,1
NF05C,613,ROSMU,1
NF06C,613,ROSMU,25
NF06C,613,CELOR,3
NF06C,613,TOXRA,3
NF06C,613,FRAAM,1
HH01,620,PRUSE,10
HH02,620,EUOAL,10
HH02,620,CELOR,8
HH02,620,FRAAM,8
HH02,620,ROSMU,3
HH03,620,ROSMU,75
HH03,620,LONMO,3
HH03,620,PRUVE,3
HH03,620,CELOR,1
HH03,620,VITAL,1
WL01,624,LONMO,60
WL01,624,PARQU,5
WL01,624,ROSMU,5
WL01,624,TOXRA,2
WL01,624,FRAAM,1
WL02,624,MALPU,40
WL02,624,LONMO,1
WL02,624,TOXRA,1
WL02,624,ROSMU,1
WL03,624,LIGOB,60
WL03,624,ROSMU,3
WL03,624,LONMO,5
WL03,624,CELOR,3
WL01B,628,ELEAN,40
WL01B,628,TOXRA,1
WL02B,628,MALPU,40
WL02B,628,LONMO,1
WL02B,628,TOXRA,1
WL02B,628,ROSMU,1
WL03B,628,PARQU,5
WL03B,628,ELEAN,10
WL03B,628,CELOR,5
BS01,629,BERTH,50
BS01,629,CRAXX,15
BS01,629,FRAAM,3
BS02,629,BERTH,50
BS02,629,CELOR,2
BS03,629,BERTH,30
BS03,629,CELOR,1
BS03,629,CARXX,1
WL01C,630,ZZ,50
WL01C,630,ZZ,-99
WL01C,630,ZZ,-99
WL01C,630,ZZ,-99
WL02C,630,CELOR,5
WL02C,630,LIGOB,3
WL02C,630,TOXRA,1
WL02C,630,ROSMU,1
WL02C,630,ELEAN,1
WL02C,630,EUOAL,1
WL03C,630,LONMO,35
WL03C,630,LIGOB,15
WL03C,630,ROSMU,1
BS03B,701,BERTH,45
BS03B,701,LINBE,15
BS03B,701,CELOR,2
BS01B,701,BERTH,25
BS01B,701,CELOR,5
BS02B,701,BERTH,30
BS03C,704,BERTH,45
BS03C,704,LINBE,5
BS01C,704,BERTH,15
BS01C,704,LINBE,2
BS01C,704,CELOR,3
BS02C,704,BERTH,15
BS02C,704,CELOR,3
BM01,704,MALFL,40
BM01,704,COMPE,5
BM01,704,CELOR,15
BM01,704,ROSMU,1
BM02,704,MALFL,40
BM02,704,RUBXX,25
BM02,704,ROSMU,5
BM02,704,CELOR,1
BM03,704,RUBXX,25
BM03,704,COMPE,3
BM03,704,CELOR,1
BM03,704,QUEAL,1
BM03,704,BETLE,1
BM03,704,VACCO,1
BM03B,706,FRAAM,8
BM03B,706,PINST,2
BM03B,706,QUEVE,1
BM03B,706,CELOR,1
BM03B,706,FILUL,1
BM01B,706,MALFL,90
BM02B,706,ZZ,-99
TQ01,706,LIGOB,20
TQ01,706,ROSMU,15
TQ01,706,BERTH,5
TQ01,706,VIBLE,5
TQ02,706,FILUL,35
TQ02,706,VIBLE,40
TQ03,706,LIGOB,30
TQ03,706,VIBLE,35
TQ03,706,ROSMU,1
BM01C,708,CELOR,3
BM01C,708,CALFL,10
BM01C,708,COMPE,3
BM01C,708,ROSMU,1
BM02C,708,ROSMU,50
BM02C,708,CELOR,20
BM03C,708,MALSI,5
BM03C,708,BERTH,3
BM03C,708,ROSMU,1
BM03C,708,BETLE,1
BM03C,708,COMPE,1
BM03C,708,BETPO,1
TQ01B,708,CELOR,10
TQ01B,708,BERTH,15
TQ01B,708,LIGOB,25
TQ01B,708,VIBLE,5
TQ01B,708,ROSMU,2
TQO2B,708,LIGOB,30
TQO2B,708,CELOR,5
TQO2B,708,ACESA,5
TQO2B,708,ROSMU,1
TQ03B,708,LIGOB,25
TQ03B,708,ROSMU,5
TQ03B,708,CELOR,1
TQ03B,708,VIBLE,5
CF01,708,RUBXX,20
CF01,708,VIBSI,20
CF01,708,CELOR,10
CF01,708,PARQU,5
CF01,708,TOXRA,1
CF02,708,VIBPL,30
CF02,708,LINBE,5
CF02,708,VITAL,3
CF02,708,ROSMU,1
CF03,708,VIBDI,50
CF03,708,ROSMU,10
CF03,708,LIBE,5
CF03,708,PARQU,3
CF03,708,TOXRA,1
CF01B,711,VIBSI,15
CF01B,711,LINBE,40
CF01B,711,PARQU,5
CF01B,711,RUBSS,10
CF01B,711,CELOR,3
CF01B,711,TOXRA,3
CF02B,711,LINBE,40
CF02B,711,CELOR,5
CF02B,711,BERTH,15
CF02B,711,VITAL,5
CF03B,711,BERTH,30
CF03B,711,CELOR,3
CF03B,711,ROSMU,3
CF03B,711,LINBE,1
SV01,711,LONMO,25
SV01,711,ROSMU,5
SV01,711,CELOR,1
SV02,711,PRUSE,20
SV03,711,LONMO,50
SV03,711,CELOR,8
TQ01C,711,LIGOB,30
TQ01C,711,VIBLE,10
TQ01C,711,PARQU,1
TQ01C,711,CELOR,1
TQ02C,711,LIGOB,10
TQ03C,711,CRAXX,30
TQ03C,711,LIGOB,30
TQ03C,711,CELOR,5
TQ03C,711,VIBLE,5
SV01B,713,ELEAN,25
SV01B,713,ROSMU,10
SV01B,713,CARXX,2
SV02B,713,ACESA,5
SV02B,713,LONMO,1
SV03B,713,ROSMU,35
SV03B,713,CELOR,20
SV03B,713,CEUEVE,10
SV03B,713,PARQU,5
SV02C,715,PRUSE,25
SV01C,715,LONMO,45
SV01C,715,CELOR,2
SV01C,715,ROSMU,1
SV03C,715,LONMO,30
SV03C,715,CELOR,10
SV03C,715,ELEAN,10
SV03C,715,ROSMU,1
CF01C,715,FRAAM,40
CF01C,715,CELOR,30
CF01C,715,ROSMU,20
CF01C,715,VITAL,10
CF01C,715,PARQU,5
CF02C,715,VITAL,20
CF02C,715,BERTH,25
CF02C,715,RUBXX,5
CF02C,715,CELOR,2
CF03C,715,BERTH,50
CF03C,715,ROSMU,5
CF03C,715,CELOR,5
CF03C,715,PARQU,1
CF03C,715,TOXRA,1
